"Temperature (K)" "Pressure (bar)" "Density (mol/l)" "Volume (l/mol)" "Internal Energy (kJ/mol)" "Enthalpy (kJ/mol)" "Entropy (J/mol*K)"
160.000000000 53.0000000000 3.84092051596 0.260354255144 2.68182280141 4.06170035367 57.0492726770
160.000000000 54.0000000000 3.91037933799 0.255729665479 2.68042969942 4.06136989300 56.8859401237
160.000000000 55.0000000000 3.97971755971 0.251274113049 2.67903997259 4.06104759436 56.7254956382
160.000000000 56.0000000000 4.04893477570 0.246978540134 2.67765363350 4.06073345825 56.5678364405
160.000000000 57.0000000000 4.11803058889 0.242834524517 2.67627069422 4.06042748397 56.4128652027
160.000000000 58.0000000000 4.18700461063 0.238834224701 2.67489116641 4.06012966967 56.2604896692
160.000000000 59.0000000000 4.25585646073 0.234970330702 2.67351506121 4.05984001235 56.1106223097
160.000000000 60.0000000000 4.32458576755 0.231236019760 2.67214238934 4.05955850790 55.9631800014
160.000000000 61.0000000000 4.39319216803 0.227624916405 2.67077316108 4.05928515115 55.8180837371
160.000000000 62.0000000000 4.46167530771 0.224131056393 2.66940738623 4.05901993587 55.6752583576
160.000000000 63.0000000000 4.53003484079 0.220748854069 2.66804507420 4.05876285484 55.5346323051
160.000000000 64.0000000000 4.59827043018 0.217473072796 2.66668623395 4.05851389985 55.3961373961
160.000000000 65.0000000000 4.66638174744 0.214298798110 2.66533087403 4.05827306175 55.2597086121
160.000000000 66.0000000000 4.73436847288 0.211221413316 2.66397900256 4.05804033044 55.1252839061
160.000000000 67.0000000000 4.80223029551 0.208236577270 2.66263062726 4.05781569497 54.9928040239
160.000000000 68.0000000000 4.86996691306 0.205340204123 2.66128575545 4.05759914349 54.8622123380
160.000000000 69.0000000000 4.93757803199 0.202528444821 2.65994439407 4.05739066334 54.7334546947
160.000000000 70.0000000000 5.00506336747 0.199797670195 2.65860654966 4.05719024103 54.6064792712
160.000000000 71.0000000000 5.07242264335 0.197144455482 2.65727222837 4.05699786229 54.4812364434
160.000000000 72.0000000000 5.13965559216 0.194565566130 2.65594143598 4.05681351212 54.3576786629
160.000000000 73.0000000000 5.20676195508 0.192057944770 2.65461417792 4.05663717474 54.2357603422
160.000000000 74.0000000000 5.27374148193 0.189618699253 2.65329045924 4.05646883371 54.1154377480
160.000000000 75.0000000000 5.34059393110 0.187245091632 2.65197028465 4.05630847189 53.9966689017
160.000000000 76.0000000000 5.40731906955 0.184934528024 2.65065365848 4.05615607146 53.8794134862
160.000000000 77.0000000000 5.47391667273 0.182684549252 2.64934058476 4.05601161400 53.7636327590
160.000000000 78.0000000000 5.54038652459 0.180492822218 2.64803106716 4.05587508046 53.6492894709
160.000000000 79.0000000000 5.60672841748 0.178357131921 2.64672510903 4.05574645120 53.5363477901
160.000000000 80.0000000000 5.67294215214 0.176275374079 2.64542271339 4.05562570602 53.4247732306
160.000000000 81.0000000000 5.73902753762 0.174245548300 2.64412388294 4.05551282417 53.3145325851
160.000000000 82.0000000000 5.80498439121 0.172265751741 2.64282862008 4.05540778436 53.2055938627
160.000000000 83.0000000000 5.87081253845 0.170334173243 2.64153692691 4.05531056482 53.0979262297
160.000000000 84.0000000000 5.93651181297 0.168449087866 2.64024880521 4.05522114328 52.9914999539
160.000000000 85.0000000000 6.00208205649 0.166608851826 2.63896425649 4.05513949701 52.8862863529
160.000000000 86.0000000000 6.06752311876 0.164811897776 2.63768328196 4.05506560283 52.7822577447
160.000000000 87.0000000000 6.13283485742 0.163056730411 2.63640588255 4.05499943712 52.6793874013
160.000000000 88.0000000000 6.19801713803 0.161341922381 2.63513205893 4.05494097588 52.5776495055
160.000000000 89.0000000000 6.26306983390 0.159666110473 2.63386181148 4.05489019469 52.4770191093
160.000000000 90.0000000000 6.32799282608 0.158027992048 2.63259514033 4.05484706876 52.3774720955
160.000000000 91.0000000000 6.39278600325 0.156426321715 2.63133204536 4.05481157296 52.2789851405
160.000000000 92.0000000000 6.45744926165 0.154859908221 2.63007252617 4.05478368180 52.1815356800
160.000000000 93.0000000000 6.52198250502 0.153327611540 2.62881658215 4.05476336947 52.0851018761
160.000000000 94.0000000000 6.58638564447 0.151828340152 2.62756421242 4.05475060985 51.9896625859
160.000000000 95.0000000000 6.65065859846 0.150361048488 2.62631541588 4.05474537651 51.8951973328
160.000000000 96.0000000000 6.71480129267 0.148924734540 2.62507019119 4.05474764277 51.8016862777
